AL022013,              BARRY,23,,,,,,,,,,,,,,,,,,
20130726,1800,  , TS,17.6N,45.0W,40,1010,50,0,0,50,0,0,0,0,0,0,0,0,
20130727,0,  , TS,17.8N,47.1W,35,1012,50,0,0,50,0,0,0,0,0,0,0,0,
20130727,600,  , TS,18.0N,49.2W,35,1012,50,0,0,50,0,0,0,0,0,0,0,0,
20130727,1200,  , TS,18.3N,51.1W,35,1012,60,0,0,60,0,0,0,0,0,0,0,0,
20130727,1800,  , DB,18.6N,53.0W,35,1012,60,0,0,60,0,0,0,0,0,0,0,0,
20130728,0,  , DB,19.0N,54.9W,35,1012,60,0,0,60,0,0,0,0,0,0,0,0,
20130728,600,  , DB,19.4N,56.8W,35,1013,60,0,0,60,0,0,0,0,0,0,0,0,
20130728,1200,  , DB,19.8N,58.6W,35,1013,60,0,0,60,0,0,0,0,0,0,0,0,
20130728,1800,  , DB,20.1N,60.3W,30,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130729,0,  , DB,20.4N,62.0W,25,1014,0,0,0,0,0,0,0,0,0,0,0,0,
20130729,600,  , DB,20.6N,63.7W,25,1014,0,0,0,0,0,0,0,0,0,0,0,0,
20130729,1200,  , DB,20.8N,65.3W,25,1015,0,0,0,0,0,0,0,0,0,0,0,0,
20130729,1800,  , DB,21.0N,66.9W,25,1015,0,0,0,0,0,0,0,0,0,0,0,0,
20130730,0,  , DB,21.3N,68.5W,25,1015,0,0,0,0,0,0,0,0,0,0,0,0,
20130730,600,  , DB,21.5N,69.8W,25,1015,0,0,0,0,0,0,0,0,0,0,0,0,
20130730,1200,  , DB,21.7N,71.0W,25,1015,0,0,0,0,0,0,0,0,0,0,0,0,
20130730,1800,  , DB,21.9N,72.2W,25,1015,0,0,0,0,0,0,0,0,0,0,0,0,
20130731,0,  , DB,22.1N,73.3W,25,1015,0,0,0,0,0,0,0,0,0,0,0,0,
20130731,600,  , DB,22.4N,74.4W,25,1015,0,0,0,0,0,0,0,0,0,0,0,0,
20130731,1200,  , DB,22.6N,75.3W,25,1015,0,0,0,0,0,0,0,0,0,0,0,0,
20130731,1800,  , DB,22.8N,75.9W,25,1015,0,0,0,0,0,0,0,0,0,0,0,0,
20130801,0,  , DB,23.0N,76.5W,25,1014,0,0,0,0,0,0,0,0,0,0,0,0,
20130801,600,  , DB,23.3N,77.0W,25,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130801,1200,  , DB,23.7N,77.7W,25,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130801,1800,  , DB,24.2N,78.4W,25,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130802,0,  , DB,24.9N,79.0W,25,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130802,600,  , DB,25.7N,79.3W,25,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130802,1200,  , DB,26.5N,79.4W,25,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130802,1800,  , TD,27.4N,79.4W,25,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130803,0,  , TD,28.4N,79.3W,30,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130803,600,  , TD,29.4N,79.1W,30,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130803,1200,  , TD,30.3N,78.8W,30,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130803,1800,  , LO,31.1N,78.1W,30,1013,0,0,0,0,0,0,0,0,0,0,0,0,
20130804,0,  , LO,31.8N,77.2W,30,1012,0,0,0,0,0,0,0,0,0,0,0,0,
20130804,600,  , LO,32.4N,75.6W,30,1011,0,0,0,0,0,0,0,0,0,0,0,0,
AL052013,               ERIN,20,,,,,,,,,,,,,,,,,,
20130815,0,  , TD,13.9N,23.3W,30,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20130815,600,  , TS,14.1N,24.6W,35,1007,30,30,0,0,0,0,0,0,0,0,0,0,
20130815,1200,  , TS,14.3N,25.9W,35,1007,30,30,0,0,0,0,0,0,0,0,0,0,
20130815,1800,  , TS,14.7N,27.2W,35,1007,30,30,0,0,0,0,0,0,0,0,0,0,
20130816,0,  , TS,15.3N,28.6W,35,1007,30,30,0,0,0,0,0,0,0,0,0,0,
20130816,600,  , TS,15.9N,30.0W,35,1007,30,30,0,0,0,0,0,0,0,0,0,0,
20130816,1200,  , TS,16.5N,31.4W,35,1007,30,30,0,0,0,0,0,0,0,0,0,0,
20130816,1800,  , TS,17.3N,32.7W,35,1007,30,30,0,0,0,0,0,0,0,0,0,0,
20130817,0,  , TS,18.0N,33.8W,40,1006,60,50,0,60,0,0,0,0,0,0,0,0,
20130817,600,  , TS,18.8N,34.7W,40,1006,60,50,0,60,0,0,0,0,0,0,0,0,
20130817,1200,  , TS,19.6N,35.5W,35,1007,60,0,0,60,0,0,0,0,0,0,0,0,
20130817,1800,  , TS,20.3N,36.2W,35,1007,60,0,0,60,0,0,0,0,0,0,0,0,
20130818,0,  , TS,20.6N,37.2W,35,1007,60,0,0,0,0,0,0,0,0,0,0,0,
20130818,600,  , LO,20.6N,38.0W,30,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20130818,1200,  , LO,20.5N,38.8W,30,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20130818,1800,  , LO,20.4N,39.6W,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
20130819,0,  , LO,20.3N,40.4W,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
20130819,600,  , LO,20.2N,41.2W,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
20130819,1200,  , LO,20.1N,42.0W,20,1010,0,0,0,0,0,0,0,0,0,0,0,0,
20130819,1800,  , LO,20.0N,42.8W,20,1010,0,0,0,0,0,0,0,0,0,0,0,0,
AL062013,            FERNAND,7,,,,,,,,,,,,,,,,,,
20130825,1200,  , TD,18.7N,94.2W,30,1006,0,0,0,0,0,0,0,0,0,0,0,0,
20130825,1800,  , TS,18.9N,95.1W,45,1004,30,20,0,30,0,0,0,0,0,0,0,0,
20130826,0,  , TS,19.2N,95.9W,50,1001,30,30,30,30,10,0,0,0,0,0,0,0,
20130826,445, L, TS,19.5N,96.3W,50,1001,30,30,30,30,10,0,0,0,0,0,0,0,
20130826,600,  , TS,19.7N,96.6W,45,1002,30,30,10,30,0,0,0,0,0,0,0,0,
20130826,1200,  , TD,20.1N,97.3W,30,1005,0,0,0,0,0,0,0,0,0,0,0,0,
20130826,1800,  , LO,20.5N,98.2W,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
AL072013,          GABRIELLE,36,,,,,,,,,,,,,,,,,,
20130904,1800,  , TD,16.2N,65.9W,30,1010,0,0,0,0,0,0,0,0,0,0,0,0,
20130905,0,  , TD,16.7N,66.3W,30,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20130905,600,  , TD,17.1N,67.0W,30,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20130905,1200,  , TD,17.4N,67.7W,30,1010,0,0,0,0,0,0,0,0,0,0,0,0,
20130905,1800,  , DB,17.9N,68.4W,25,1010,0,0,0,0,0,0,0,0,0,0,0,0,
20130906,0,  , DB,18.8N,68.4W,25,1010,0,0,0,0,0,0,0,0,0,0,0,0,
20130906,600,  , DB,19.5N,68.5W,20,1010,0,0,0,0,0,0,0,0,0,0,0,0,
20130906,1200,  , DB,20.0N,68.6W,20,1010,0,0,0,0,0,0,0,0,0,0,0,0,
20130906,1800,  , DB,20.4N,68.7W,20,1010,0,0,0,0,0,0,0,0,0,0,0,0,
20130907,0,  , DB,21.2N,68.7W,20,1010,0,0,0,0,0,0,0,0,0,0,0,0,
20130907,600,  , DB,22.0N,68.8W,20,1010,0,0,0,0,0,0,0,0,0,0,0,0,
20130907,1200,  , DB,22.8N,69.2W,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
20130907,1800,  , DB,23.6N,69.2W,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
20130908,0,  , DB,24.4N,69.1W,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
20130908,600,  , DB,24.7N,68.9W,25,1009,0,0,0,0,0,0,0,0,0,0,0,0,
20130908,1200,  , DB,24.8N,68.8W,25,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20130908,1800,  , DB,24.9N,68.7W,25,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20130909,0,  , DB,25.1N,68.2W,25,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20130909,600,  , DB,25.4N,67.8W,25,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20130909,1200,  , LO,25.9N,66.9W,30,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20130909,1800,  , LO,26.6N,65.9W,30,1008,0,0,0,0,0,0,0,0,0,0,0,0,
20130910,0,  , TD,27.6N,65.1W,30,1007,0,0,0,0,0,0,0,0,0,0,0,0,
